leaid,lea_name,enrollment,urban_centric_locale,urm_pct,frl_pct,academic,scoScore
1804770,Indianapolis Public Schools,22115,City large,78.9,62.94,2.14,1.42
1805670,MSD Lawrence Township,16247,Suburb large,81.07,59.68,1.75,1.29
1808760,Penn-Harris-Madison School Corp,11513,Suburb large,28.499999999999996,22.53,1,0.59
1808820,Perry Township Schools,16603,City large,62.32,69.28999999999999,1.37,1.11
1808850,Peru Community Schools,1982,Town distant,15.39,51.970000000000006,1.33,0.78
1808900,Pike County School Corp,1618,Rural distant,4.82,47.65,1.35,0.71
1808910,MSD Pike Township,10928,City large,92.95,63,1.78,1.37
1808940,Pioneer Regional School Corp,979,Rural distant,9.81,50.71,1.77,0.89
1808970,Plainfield Community School Corp,5766,Suburb large,20.5,24.779999999999998,1,0.56
1809000,East Porter County School Corp,2441,Rural fringe,12.370000000000001,15.9,1,0.47
1809060,Plymouth Community School Corp,3359,Town distant,33.22,52.370000000000005,2.05,1.11
1809120,John Glenn School Corporation,2003,Rural fringe,9.89,38.940000000000005,1,0.58
1809150,Portage Township Schools,6963,Suburb large,47.94,49.99,1.7,1.06
1809180,Porter Township School Corp,1494,Rural fringe,19.28,24.16,1.4,0.68
1809300,Prairie Heights Community Sch Corp,1356,Rural distant,7.670000000000001,23.599999999999998,1.34,0.6
1809360,West Central School Corp,636,Rural remote,12.26,49.21,1.34,0.75
1809420,Rensselaer Central School Corp,1539,Town distant,17.150000000000002,36.91,1.34,0.72
1809480,Richland-Bean Blossom C S C,2705,Suburb midsize,9.76,33.52,1.36,0.67
1809510,Richmond Community Schools,4638,Town distant,36.29,74.22999999999999,1.77,1.14
1809630,Rochester Community School Corp,1692,Town distant,9.520000000000001,51.06,1.72,0.88
1809690,Merrillville Community School Corp,6055,Suburb large,89.31,63.27,1.69,1.33
1809720,Rossville Con School District,945,Rural distant,7.199999999999999,23.810000000000002,1,0.49
1809750,Rush County Schools,1913,Town distant,7.16,57.11000000000001,1,0.65
1809810,Salem Community Schools,1745,Town distant,6.069999999999999,51.980000000000004,1.73,0.87
1809840,Daleville Community Schools,984,Suburb small,7.109999999999999,47.760000000000005,1.38,0.73
1809990,Scott County School District 1,1246,Town distant,6.9,53.97,2.15,1.02
1810020,Scott County School District 2,2610,Town distant,6.21,57.07,1.35,0.77
1810080,Seymour Community Schools,5281,Town distant,44.82,54.96,2.12,1.21
1810110,MSD Shakamak Schools,673,Rural distant,4.75,45.62,1.34,0.7
1810140,Shelbyville Central Schools,4052,Town distant,24.560000000000002,48.199999999999996,1.33,0.81
1810170,Shoals Community School Corp,689,Rural distant,4.06,58.93000000000001,1.36,0.77
1810260,South Adams Schools,1250,Town distant,14.96,41.44,1,0.62
1810290,South Bend Community School Corp,15964,City midsize,72.74000000000001,61.19,2.19,1.4
1810350,South Gibson School Corporation,2069,Rural distant,6.279999999999999,23.44,1,0.48
1810360,South Harrison Com Schools,3071,Town fringe,10.620000000000001,46.08,1,0.62
1810380,South Henry School Corp,707,Rural distant,5.94,45.2,1.37,0.71
1810410,South Knox School Corp,1236,Rural distant,3.4799999999999995,35.52,1,0.53
1810440,South Madison Com Sch Corp,4481,Suburb small,11.49,27.810000000000002,1,0.53
1810450,South Montgomery Com Sch Corp,1625,Rural distant,7.82,29.349999999999998,1,0.52
1810470,South Newton School Corp,844,Rural remote,18.01,49.76,1.75,0.92
1810500,South Putnam Community Schools,1060,Rural distant,6.23,40.660000000000004,1,0.57
1810530,South Ripley Com Sch Corp,1095,Rural distant,5.0200000000000005,40.73,1,0.56
